Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/init_block/conv/Conv_quant,Conv,32,3,224,224,3,3,2,2,1,1,1,1
/features/stage1/unit1/branch1/conv/Conv_quant,Conv,64,32,112,112,3,3,2,2,1,1,1,1
/features/stage1/unit1/branch2/conv1/conv/Conv_quant,Conv,64,64,56,56,1,1,1,1,0,0,0,0
/features/stage1/unit1/branch2/conv2/conv/Conv_quant,Conv,32,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/branch3/conv1/conv/Conv_quant,Conv,64,32,56,56,1,1,1,1,0,0,0,0
/features/stage1/unit1/branch3/conv2/conv/Conv_quant,Conv,32,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit1/last_conv/conv/Conv_quant,Conv,64,192,56,56,1,1,1,1,0,0,0,0
/features/stage1/unit2/branch1/conv/Conv_quant,Conv,64,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit2/branch2/conv1/conv/Conv_quant,Conv,64,64,56,56,1,1,1,1,0,0,0,0
/features/stage1/unit2/branch2/conv2/conv/Conv_quant,Conv,32,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit2/branch3/conv1/conv/Conv_quant,Conv,64,32,56,56,1,1,1,1,0,0,0,0
/features/stage1/unit2/branch3/conv2/conv/Conv_quant,Conv,32,64,56,56,3,3,1,1,1,1,1,1
/features/stage1/unit2/last_conv/conv/Conv_quant,Conv,128,256,56,56,1,1,1,1,0,0,0,0
/features/stage2/unit1/branch1/conv/Conv_quant,Conv,128,128,56,56,3,3,2,2,1,1,1,1
/features/stage2/unit1/branch2/conv1/conv/Conv_quant,Conv,128,128,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit1/branch2/conv2/conv/Conv_quant,Conv,64,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/branch3/conv1/conv/Conv_quant,Conv,128,64,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit1/branch3/conv2/conv/Conv_quant,Conv,64,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit1/last_conv/conv/Conv_quant,Conv,128,384,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit2/branch1/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit2/branch2/conv1/conv/Conv_quant,Conv,128,128,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit2/branch2/conv2/conv/Conv_quant,Conv,64,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit2/branch3/conv1/conv/Conv_quant,Conv,128,64,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit2/branch3/conv2/conv/Conv_quant,Conv,64,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit2/last_conv/conv/Conv_quant,Conv,128,512,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit3/branch1/conv/Conv_quant,Conv,128,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit3/branch2/conv1/conv/Conv_quant,Conv,128,128,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit3/branch2/conv2/conv/Conv_quant,Conv,64,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit3/branch3/conv1/conv/Conv_quant,Conv,128,64,28,28,1,1,1,1,0,0,0,0
/features/stage2/unit3/branch3/conv2/conv/Conv_quant,Conv,64,128,28,28,3,3,1,1,1,1,1,1
/features/stage2/unit3/last_conv/conv/Conv_quant,Conv,288,512,28,28,1,1,1,1,0,0,0,0
/features/stage3/unit1/branch1/conv/Conv_quant,Conv,288,288,28,28,3,3,2,2,1,1,1,1
/features/stage3/unit1/branch2/conv1/conv/Conv_quant,Conv,288,288,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit1/branch2/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/branch3/conv1/conv/Conv_quant,Conv,288,144,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit1/branch3/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit1/last_conv/conv/Conv_quant,Conv,288,864,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit2/branch1/conv/Conv_quant,Conv,288,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit2/branch2/conv1/conv/Conv_quant,Conv,288,288,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit2/branch2/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit2/branch3/conv1/conv/Conv_quant,Conv,288,144,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit2/branch3/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit2/last_conv/conv/Conv_quant,Conv,288,1152,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit3/branch1/conv/Conv_quant,Conv,288,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit3/branch2/conv1/conv/Conv_quant,Conv,288,288,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit3/branch2/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit3/branch3/conv1/conv/Conv_quant,Conv,288,144,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit3/branch3/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit3/last_conv/conv/Conv_quant,Conv,288,1152,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit4/branch1/conv/Conv_quant,Conv,288,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit4/branch2/conv1/conv/Conv_quant,Conv,288,288,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit4/branch2/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit4/branch3/conv1/conv/Conv_quant,Conv,288,144,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit4/branch3/conv2/conv/Conv_quant,Conv,144,288,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit4/last_conv/conv/Conv_quant,Conv,416,1152,14,14,1,1,1,1,0,0,0,0
/features/stage4/unit1/conv/Conv_quant,Conv,756,416,14,14,3,3,2,2,1,1,1,1
/features/stage4/unit2/conv/Conv_quant,Conv,1024,756,7,7,3,3,1,1,1,1,1,1
/features/stage5/unit1/conv/Conv_quant,Conv,1024,1024,7,7,3,3,2,2,1,1,1,1
/features/stage5/unit2/conv/Conv_quant,Conv,1280,1024,4,4,1,1,1,1,0,0,0,0
/features/final_pool/AveragePool_quant,AveragePool,1280,1280,4,4,4,4,1,1,0,0,0,0
/output/Gemm_quant,Fc,1000,1280,0,0,0,0,0,0,0,0,0,0
